PR ID,Commit ID,Category,Brief justification,Confidence
2757674020,4f0e0abee869c385a685fd7f6fad5aefa8983ee3,Other,"Evidence is mixed or too generic to identify one dominant purpose reliably: “Update models.ts”; 1 file(s), 5 additions/4 deletions.",Low
2757674020,a9a2ddb4348829d29abd916af6a2df674dcc721e,Code Cleanup,The patch removes turbo-build.log and is deletion-focused (110 deletions vs 0 additions).,High
2758215458,de487d7351a39c36713e2b1e912db22492da9823,User-Facing Interface and Interaction Refinement,"In value-journey.tsx, the diff changes rendered/user-visible text or interface markup, e.g. `import { MessageSquare, Zap, CheckCircle2 } from ""lucide-react"";`, rather than underlying domain capability.",Medium
2758742372,081b0f1d224a2020f06c7dae8db99632d529eb46,Functional Correctness Repair,"In chat.tsx, the patch changes existing behavior/control flow around `if (chunk.type === 'metadata' && chunk.data?.groundingMetadata) {` to correct the observed defect; 255 additions/102 deletions.",High
2758742372,30ef93f0ce59cf28e91c9f2d14c078e089a122cb,Structural Refactoring,The patch renames/reorganizes implementation across 43 file(s) (73 additions/184 deletions); commit evidence says “rename + refactor”.,High
2758742372,ade507ee402fca6c673859b083c01c4350c43563,User-Facing Interface and Interaction Refinement,"In inbox-logs.tsx, the diff changes rendered/user-visible text or interface markup, e.g. `} from ""../../../inbox/services/record-manager"";`, rather than underlying domain capability.",Medium
2760243902,0f14a7365c817b837f3aa2f991427cb9fddc8c19,Rollback or Reversion,Commit message explicitly says “revert time travel”; the diff reverses/restores prior changes in time_travel.py.,High
2761085743,522f043194aaff1b6d78c735d4a0218aa4e4679b,Feature Completion or Extension,"The patch adds substantive implementation in package.json, including `handler`, with 295 added lines—evidence of a new/completed capability.",High
2761376844,0c6f9a7cff50bcae00cef19f8e515fc7f3f67d7e,Feature Completion or Extension,"The patch adds substantive implementation in selenium_scraping_tool.py, including `_get_content`, `_is_css_element_empty`, with 36 added lines—evidence of a new/completed capability.",High
2761376844,20cdb5690f3e0a7e000583cd0fc15ee58ab1fb45,Documentation,"Documentation/release artifacts are the substantive change, including README.md (1 additions/0 deletions).",High
2761376844,d882c4243d778df151a182a6fe07c71e28c28c89,Test and Validation Adjustment,Patch is concentrated in test/validation artifacts (selenium_scraping_tool_test.py); it changes 93 test lines rather than primarily production behavior.,High
2763620087,f38e7b66ad3ff0e8d4024c97df3043ac825fdae9,Documentation,"Documentation/release artifacts are the substantive change, including README.md (5 additions/29 deletions).",High
2766442004,1673e5b7437b7fac2ca734c6e4bcd077d8e34564,Feature Completion or Extension,"The patch adds substantive implementation in base-agent.tsx, including `parseContext`, `onSubmit`, with 319 added lines—evidence of a new/completed capability.",High
2767891481,1304dd3af924bbc4a9ceec189b5685d7309b46f6,Feature Completion or Extension,"The patch adds substantive implementation in app-build-manifest.json, including `toPath`, `relPath`, with 7537 added lines—evidence of a new/completed capability.",High
2768057346,36fd7a10ca6b78bbc82e7f6d781b16bbe973b281,Documentation,"Documentation/release artifacts are the substantive change, including giant-balloons-confess.md (6 additions/0 deletions).",High
2768057346,a21ca68136da34aa5eb467226559bb35c96d3c74,Functional Correctness Repair,"In goat.code-workspace, the patch changes existing behavior/control flow around `const result = await this.client.signAndExecuteTransactionBlock({` to correct the observed defect; 56 additions/65 deletions.",High
2768057378,9ded55ed79e65f7ad12c042bae0afd97422b697a,Documentation,"Documentation/release artifacts are the substantive change, including add-coingecko-endpoints.md (1 additions/1 deletions).",High
2768132850,68c62d618dc297d005cc5034cf9687045ae23854,Functional Correctness Repair,"In goat.code-workspace, the patch changes existing behavior/control flow around `if (value !== undefined) {` to correct the observed defect; 330 additions/234 deletions.",High
2768132850,828c4c84e03d2c691cd54380b739ee63d058e2e8,Documentation,"Documentation/release artifacts are the substantive change, including swift-mugs-drum.md (5 additions/0 deletions).",High
2768656574,1cfc8a48675c68e58a6c4fba9d257a441ec0a1cc,Documentation,"Documentation/release artifacts are the substantive change, including add-coingecko-endpoints.md (1 additions/1 deletions).",High
2768656574,271950de083433a95aa9830f393f10aeb75b8173,Functional Correctness Repair,"In goat.code-workspace, the patch changes existing behavior/control flow around `const response = await fetch(`${this.baseUrl}${endpoint}`, {` to correct the observed defect; 243 additions/327 deletions.",High
2768656574,4349721323c31a11a70dd3f237706a67e875a38c,Documentation,"Documentation/release artifacts are the substantive change, including hip-knives-join.md (5 additions/0 deletions).",High
2768662452,66bb36e8378774a651aeece96aa5f2facb458ac9,Documentation,"Documentation/release artifacts are the substantive change, including dexscreener-plugin-add.md (1 additions/1 deletions).",High
2768706725,9c8eaec3133102121386724fa15d9125f76cbf51,Documentation,"Documentation/release artifacts are the substantive change, including quick-lamps-lay.md (5 additions/0 deletions).",High
2768706725,d4aa78493f009f3c651eb44db6437373c0b2de6c,Functional Correctness Repair,"In goat.code-workspace, the patch changes existing behavior/control flow around `return this.fetchNansen(`/address/${address}`);` to correct the observed defect; 91 additions/89 deletions.",High
2768814420,65bf1bf3b20f149f642f9e2b0adb14f71d4c72fc,Structural Refactoring,"In goat.code-workspace, the patch extracts/reorganizes implementation structure, including `GetBalancesParameters` (33 additions/26 deletions), without clear new external behavior.",High
2768814420,9be14fc4119cdf71735909b0dde8e89e9739fe2e,Project Integration and Environment Maintenance,The change targets build/CI/dependency/platform scaffolding in package.json; commit evidence says “Fix dependencies”.,High
2768952674,00d89db640f8b1442a138488e4216d345b4b3953,Documentation,"Documentation/release artifacts are the substantive change, including Makefile (0 additions/9 deletions).",High
2768952674,4c77d26af73f49a9b74dec0295d94d1f9159f685,Project Integration and Environment Maintenance,The change targets build/CI/dependency/platform scaffolding in Makefile; commit evidence says “Use the same trick for venv”.,High
2768952674,908ef5057b188a54b8c02d36168331bbd8d47a36,Project Integration and Environment Maintenance,The change targets build/CI/dependency/platform scaffolding in Makefile; commit evidence says “Fix the all make target”.,High
2768952674,9a2e79a1c98c99256fd90fddd05ce7e495de6fec,Project Integration and Environment Maintenance,The change targets build/CI/dependency/platform scaffolding in Makefile; commit evidence says “Fix to use mktemp”.,High
2768952674,ac0d243b269669c782ec629b580e53a772230f73,Project Integration and Environment Maintenance,The change targets build/CI/dependency/platform scaffolding in Makefile; commit evidence says “Fix to use find”.,High
2768952674,b833402b5137b7f11952010a0e16b60552bc689a,Code Cleanup,The patch removes unnecessary existing material in Makefile (1 deletions vs 1 additions); message: “Delete unnecessary dep”.,High
2768952674,da4c233781ca312c7324bed342c4c27a62bde269,Code Cleanup,The patch removes unnecessary existing material in Makefile (12 deletions vs 15 additions); message: “Handle node_modules as an actual build target with the same strategy using a sentinel fil…”.,High
2768962384,e992c0ca8a631b2c72917f760dcee22df0373647,Functional Correctness Repair,"In serious-zoos-flash.md, the patch changes existing behavior/control flow around `limit: z.number().optional().describe(""Maximum number of tokens to return""),` to correct the observed defect; 36 additions/75 deletions.",High
2769204205,435af88821b7e6bb6356f52ecb2b86b6dbdef129,Code Cleanup,"The patch removes app-build-manifest.json, build-manifest.json and is deletion-focused (7537 deletions vs 37 additions).",High
2769204205,92120b68547e5ce42230cf5ad1f894629d05d555,Functional Correctness Repair,"In layout.tsx, the patch changes existing behavior/control flow around `const config = await window.api.getVaultConfig()` to correct the observed defect; 332 additions/412 deletions.",High
2769204205,a9d9402efe151e21acf9988fc6db311b5d4fe305,Feature Completion or Extension,"The patch adds substantive implementation in .cursorrules, including `names`, `PaymentSelector`, with 1247 added lines—evidence of a new/completed capability.",High
2769204205,b30bf15bf3b8a62e2db2e4c70d97864e111f9f24,Feature Completion or Extension,"The patch adds substantive implementation in .cursorrules, including `BusinessAgent`, `parseContext`, with 831 added lines—evidence of a new/completed capability.",High
2769559533,0fc9bafabadf0ced96d10eeed0dc1124d22ae691,User-Facing Interface and Interaction Refinement,"In ChatInput.tsx, the diff changes rendered/user-visible text or interface markup, e.g. `import { DraftingImagePill } from './ContextPills/DraftingImagePill';`, rather than underlying domain capability.",Medium
2769559533,676dd88e8c5cfc0a18b4cb8ea5fd7e1eadd6183b,Feature Completion or Extension,"The patch adds substantive implementation in ChatInput.tsx, including `handlePaste`, `handleDrop`, with 253 added lines—evidence of a new/completed capability.",Medium
2769559533,6b138a20721ca089e0dd43ab756cbd3be937e161,User-Facing Interface and Interaction Refinement,"In ChatInput.tsx, the diff changes rendered/user-visible text or interface markup, e.g. `className=""w-9 h-9 text-foreground-tertiary group hover:bg-transparent""`, rather than underlying domain capability.",Medium
2769559533,96ed275a99a48db92a995a214e00abaf6c179c8e,Code Cleanup,The patch removes unnecessary existing material in context.ts (22 deletions vs 12 additions); message: “Update remove context”.,Medium
2769559533,e3ed18271d7fc64e12178b65734bde1094fe757a,Other,"Evidence is mixed or too generic to identify one dominant purpose reliably: “clean up ghost divs that can linger after deleting”; 1 file(s), 12 additions/3 deletions.",Low
2771417743,7054d19dd1df17e07c574ac6a125b356c6aa6eda,Functional Correctness Repair,"The patch modifies existing implementation in bank_statement.py to address the stated fix/bug, with 4 additions and 4 deletions rather than adding a separate capability.",Medium
2771417743,9b0f2d6cf8afd8b53df877af1fe7587715574b77,Functional Correctness Repair,"In catalog.yaml, the patch changes existing behavior/control flow around `schemas:` to correct the observed defect; 1 additions/1 deletions.",Medium
2772413148,33f8f6814bec281446aad578085ba28931b512cb,Functional Correctness Repair,"In main.ts, the patch changes existing behavior/control flow around `try {` to correct the observed defect; 17 additions/40 deletions.",High
2772413148,9eea0d698b0fd0314eada4431525a9ac41ce5d53,Feature Completion or Extension,"The patch adds substantive implementation in .cursorrules, including `RequestLogo`, with 148 added lines—evidence of a new/completed capability.",High
2773814208,ce2e1e350fb5f4bc234be80aa2096fdb35174cdd,Feature Completion or Extension,The diff adds substantial implementation in route.ts (2 additions/1 deletions); commit evidence says “add metadata.db path”.,Medium
2773911009,5c26dad20021c00bf41c217aee579c2f3412a411,Documentation,"Documentation/release artifacts are the substantive change, including db.py (1 additions/2 deletions).",High
2775192816,0afdc6691a4b6f49fae982ee87ecf06e7c9db30a,Feature Completion or Extension,The diff adds substantial implementation in onboarding-dialog.tsx (1 additions/1 deletions); commit evidence says “feat: add coming soon”.,Medium
2775192816,10307920c4d7d2cd25db172c8feeb5d58b60caef,Feature Completion or Extension,The diff adds substantial implementation in page.tsx (99 additions/0 deletions); commit evidence says “feat: test”.,High
2775192816,1a1cab52445c6ea42a7fba85e852ad37e3ff893d,Feature Completion or Extension,"The patch adds substantive implementation in route.ts, including `getAutoPaySettings`, with 235 added lines—evidence of a new/completed capability.",High
2775192816,348b87f9d93faa2e1ee121365f6eb385344ab2ff,Feature Completion or Extension,The diff adds substantial implementation in page.tsx (31 additions/76 deletions); commit evidence says “feat: disable merucry for now”.,Medium
2775192816,46a7cd1f8ed7217fbad9a7488d065ac63e2e8f4c,Functional Correctness Repair,"In payment-detector-agent.ts, the patch changes existing behavior/control flow around `{detectionResult.payments.length === 1 ? '' : 's'}` to correct the observed defect; 52 additions/27 deletions.",High
2775192816,50d78678de05c6b5f10858fb9e6c57af7bde559e,Structural Refactoring,"In package.json, the patch extracts/reorganizes implementation structure, including `POST` (864 additions/515 deletions), without clear new external behavior.",High
2775192816,9a3265f390fa56e78ff14bf4a9e5e77c06ad5b48,Feature Completion or Extension,"The commit adds new implementation file(s) query-client.ts and 192 lines, extending the contribution with new behavior.",High
2775192816,eefc9578082cfc0e637573df6c0e1975c38b9667,Other,"Evidence is mixed or too generic to identify one dominant purpose reliably: “feet: search closer to know first”; 1 file(s), 9 additions/2 deletions.",Low
2777165691,1360f740e9c21a9ab408858887d9653f2385859f,Functional Correctness Repair,"In example.py, the patch changes existing behavior/control flow around `if user_input.lower() == 'quit':` to correct the observed defect; 88 additions/41 deletions.",High
2777347182,2339fa35c7f366f83252ac030a24616f35e9195f,Other,"Evidence is mixed or too generic to identify one dominant purpose reliably: “push”; 1 file(s), 2 additions/2 deletions.",Low
2777961937,3d6a27cea08b57b3972e587e093d889cbcfbf5c6,Functional Correctness Repair,"In chat.tsx, the patch changes existing behavior/control flow around `if (selectedModel !== 'gpt-4o') {` to correct the observed defect; 39 additions/10 deletions.",High
2782528229,85f6945c024361f93ab4866a37659d3983576461,Other,"Evidence is mixed or too generic to identify one dominant purpose reliably: “Docs Add `in` and `not_in`”; 1 file(s), 3 additions/3 deletions.",Low
2782528229,9b1785643722ae3ce1953356649abe9fd3196ed0,Test and Validation Adjustment,Patch is concentrated in test/validation artifacts (app.controller.get.test.spec.ts); it changes 55 test lines rather than primarily production behavior.,High
2782528229,f08388d51f87b62dacc6b1b3e6210472a7ead9c8,Functional Correctness Repair,"In mongo.datasource.ts, the patch changes existing behavior/control flow around `return `${w.column.includes('.') ? w.column : this.reserveWordFix(table_name) + '.' + this.reserveW…` to correct the observed defect; 36 additions/22 deletions.",High
2782566930,1895c053c2dc0d39f78658df8f9929fbb2e08604,Other,"Evidence is mixed or too generic to identify one dominant purpose reliably: “gr”; 4 file(s), 104 additions/51 deletions.",Low
2782566930,3dc3cdbb532bc15c579ada6d8ad3e76188e1352c,Other,"Evidence is mixed or too generic to identify one dominant purpose reliably: “config defaults”; 1 file(s), 33 additions/20 deletions.",Low
2782566930,845cccf30696a240fc3ae332ed985a5d5e002064,Functional Correctness Repair,"In Cargo.lock, the patch changes existing behavior/control flow around `# defaults to 100 (i.e., don't change the gas limit) if not specified.` to correct the observed defect; 71 additions/45 deletions.",Low
2783421768,07c082176db1bcf9fc37d523649aa9bb90f5bf25,Project Integration and Environment Maintenance,"The change targets build/CI/dependency/platform scaffolding in publish.yml, storybook-playroom.yml; commit evidence says “chore: add Playroom deployment”.",High
2783421768,1c8e83daf497f519ebb7ad40c13b33af2eab9920,Feature Completion or Extension,The diff adds substantial implementation in storybook.yml (12 additions/4 deletions); commit evidence says “chore: add playroom and storybook deployment”.,Medium
2783421768,3b3d558d01974cf138b6aca7fdebcad5135d59f0,Documentation,"Documentation/release artifacts are the substantive change, including component-design.md (38 additions/11 deletions).",High
2783421768,5b2012796f1cc537ae7893932e8e020cc79913f9,Other,"Evidence is mixed or too generic to identify one dominant purpose reliably: “chore: remove prop completion from playroom It was not behaving as expected. To be fixed …”; 1 file(s), 4 additions/0 deletions.",Low
2783421768,70a28b3725b866b2135c44145c928ff5c00d78cf,Documentation,"Documentation/release artifacts are the substantive change, including storybook-playroom.yml (14 additions/2 deletions).",High
2783421768,9935cacce17f8e361a1fafd26641ddd5d529ae86,Feature Completion or Extension,"The patch adds substantive implementation in playroom.config.js, including `toast`, with 1393 added lines—evidence of a new/completed capability.",Medium
2783421768,c8a223b2edaaa52284f6cd83d7a0ee8b71827eb3,Functional Correctness Repair,"In playroom.config.js, the patch changes existing behavior/control flow around `return {` to correct the observed defect; 25 additions/5 deletions.",Medium
2783421768,d8c72d04b5a812bdf499e7a03cb1c1cf9ab03bec,Feature Completion or Extension,"The patch adds substantive implementation in playroom.config.js, including `Context`, with 16 added lines—evidence of a new/completed capability.",Medium
2783423999,2b522d401554c2224be953247207a7789c45d60d,Functional Correctness Repair,"In FixIssue.py, the patch changes existing behavior/control flow around `if base_path is not None:` to correct the observed defect; 38 additions/44 deletions.",Low
2783423999,7535fccc8f1c2b9ca4e254346457908ac6a59e96,Project Integration and Environment Maintenance,The change targets build/CI/dependency/platform scaffolding in pyproject.toml; commit evidence says “bump patchwork version”.,High
2783583943,13fc9aa6771485f2adde7af23cc543c72c71d098,Structural Refactoring,"In slug.test.ts, the patch extracts/reorganizes implementation structure, including `generateSlug` (31 additions/10 deletions), without clear new external behavior.",High
2783583943,a649b3008cbfac4278633c10678fa3fe3a1c281d,Documentation,"Documentation/release artifacts are the substantive change, including slugs.ts (2 additions/0 deletions).",High
2784386339,0e87708a44487404b9df213c695ab8c4c24db31f,Documentation,"Documentation/release artifacts are the substantive change, including README.md (1 additions/1 deletions).",High
2784399427,c19e07d2395a126ce0cd0109ca68968fa50dc264,Code Cleanup,The patch removes allora-python-plugin.md and is deletion-focused (6 deletions vs 0 additions).,High
2784409350,45beee522e9fc89a403536466d9fc992e295f406,Project Integration and Environment Maintenance,The change targets build/CI/dependency/platform scaffolding in pyproject.toml; commit evidence says “Update pyproject.toml”.,High
2784409350,7bc97f0b24fb97a6ae12599ff03ef50ebbc27834,Other,"Evidence is mixed or too generic to identify one dominant purpose reliably: “Update __init__.py”; 1 file(s), 0 additions/3 deletions.",Low
2784417626,931a26c150588042ab06f9be7f192e62959683bc,Documentation,"Documentation/release artifacts are the substantive change, including README.md (1 additions/1 deletions).",High
2784574087,c303d55e507633a4af9af8db6058772d5e16a5d6,Documentation,"Documentation/release artifacts are the substantive change, including README.md (0 additions/69 deletions).",High
